fake_student_id,time_stamp,class,co_op,dream_career,hobby,song,ai_feels,age_months,pets,credit_hours,work_hours
1841,2023/09/06 12:59:46 AM AST,Junior,No,Pharmaceutical data scientist job,"playing poker, try new restaurants",,"I think it's the future, and the future looks great!",240,0,18,30
1049,2023/09/06 5:52:01 AM AST,Senior,Yes,Management ,Drawing,https://www.youtube.com/watch?v=A1EhBdsTkl8,"I think it's the future, and the future looks great!",259,8,16,0
1508,2023/09/06 8:40:59 AM AST,Sophomore,No,I want to be a UI/UX developer.,I love doing yoga and going on long walks!,"""I'll Be There For You""","It will be useful, but it won't change the world signicantly.",230,0,19,15
1717,2023/09/06 9:07:26 AM AST,Junior,Yes,International Affairs,Singing,These are the Days by Inhaler - https://www.youtube.com/watch?v=l0Hilyfp_8A,I'm a bit worried it might be used for ill.,246,5,17,0
1745,2023/09/06 10:04:32 AM AST,Sophomore,No,research in data science & neuroscience fields,"travelling, reading, painting",,I'm a bit worried it might be used for ill.,230,6,17,0
1848,2023/09/06 10:21:57 AM AST,Senior,Yes,Senior/HIgher Level of SDE,Building Keyboard,https://open.spotify.com/track/32TW5KGM1UqTzkTOkcNITt?si=bfe1652a00904cda,"I think it's the future, and the future looks great!",253,0,16,0
1536,2023/09/06 11:04:57 AM AST,Junior,Yes,Still figuring it out,Running,,I'm a bit worried it might be used for ill.,239,0,16,7
1936,2023/09/06 11:23:36 AM AST,Senior,Yes,Research Scientist,Gaming,Sweet Dreams (https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS?si=bec608204eaf43ed),"I think it's the future, and the future looks great!",252,2,12,8
1888,2023/09/06 11:43:29 AM AST,Senior,Yes,SDE,Badminton,Washed Wine,"I think it's the future, and the future looks great!",269,1,12,0
1562,2023/09/06 12:10:53 PM AST,Senior,Yes,"MD/PhD, don't know what fields I would specialize in but I would probably do patient care and research or patient care and teaching.",,,"It will be useful, but it won't change the world signicantly.",260,0,16,8
1723,2023/09/06 12:48:36 PM AST,Senior,Yes,Software Engineer,Hiking,"""Can't Stop the Feeling!"" by Justin Timberlake",I'm a bit worried it might be used for ill.,253,0,16,0
1808,2023/09/06 1:23:45 PM AST,Sophomore,No,,,,"I think it's the future, and the future looks great!",242,,18,
1001,2023/09/06 2:12:58 PM AST,Sophomore,No,SWE/ Quant trader,Chess,Good Life - Kanye,"I think it's the future, and the future looks great!",239,1,17,0
1864,2023/09/06 2:49:58 PM AST,Junior,Yes,Quantitative Trader,Video editing,Happy (https://www.youtube.com/watch?v=y6Sxv-sUYtM),"I think it's the future, and the future looks great!",245,2,17,0
1809,2023/09/06 4:04:01 PM AST,Sophomore,No,AI/Software Team Lead at IBM or EY,Being active and playing basketball,it'd probably be Sunday Best by Surfaces ,"I think it's the future, and the future looks great!",79,2,19,8
1233,2023/09/06 4:19:00 PM AST,Senior,Yes,Quant Analyst,"Watching shows, reading",Thats life - sinatra,I'm a bit worried it might be used for ill.,271,0,16,0
1363,2023/09/06 5:00:38 PM AST,Sophomore,No,My dream career would probably be something in public health or the nonprofit space but I am currently pursuing accounting. ,I really like walking and reading. ,,"It will be useful, but it won't change the world signicantly.",239,1,17,15
1127,2023/09/06 5:07:27 PM AST,Sophomore,No,"Still exploring, I'm doing a Combined major of Computer Science and Business Administration. At the moment I'm leaning towards something software related.",Listening to music,No Wind Resistance - Kinneret,"I think it's the future, and the future looks great!",231,0,16,0
1233,2023/09/06 6:06:10 PM AST,Senior,Yes,Financial Analyst at Microsoft,Aerial Yoga,"""I'M THAT GIRL"": https://open.spotify.com/track/1MpCaOeUWhox2Fgigbe1cL?si=03fa15dc87f14e1d",I'm a bit worried it might be used for ill.,262,2,16,10
1273,2023/09/06 7:00:47 PM AST,Senior,Yes,"something that combines technology, marketing, and entrepreneurship",Dance,Joe Hisaishi - Merry-Go-Round of Life (from Howl’s Moving Castle),I'm a bit worried it might be used for ill.,252,1,16,0
1331,2023/09/06 7:21:59 PM AST,Sophomore,No,Quantitative Finance,Gym,Happiness is a butterfly,"I think it's the future, and the future looks great!",249,0,17,0
1629,2023/09/06 7:25:37 PM AST,Sophomore,No,ML/Generative AI - (Consulting),Forumla 1,Bill Nye the Science Guy Intro,"I think it's the future, and the future looks great!",253,4,16,15
1207,2023/09/06 9:01:50 PM AST,Sophomore,No,Health IT,photography!,Dynasty by Rina Sawayama,I'm a bit worried it might be used for ill.,230,0,18,5
1989,2023/09/06 9:28:16 PM AST,Junior,No,Anything combining data science and international affairs ,singing ,,Meh.,245,0,16,20
1244,2023/09/06 11:30:48 PM AST,Sophomore,No,Software engineering,Watching Kdramas or playing volleyball,Calm down - Rema (Friend said the beat was kinda me),"I think it's the future, and the future looks great!",235,1,16,0
1670,2023/09/07 7:18:36 AM AST,Sophomore,No,Data scientist,Music,,It's going to destroy us all!,234,6,19,0
1674,2023/09/07 7:48:31 AM AST,Sophomore,No,be an entrepreneur ,dance,,"I think it's the future, and the future looks great!",,1,17,10
1086,2023/09/07 12:40:42 PM AST,Senior,Yes,"I'll be an Investment Analyst at Hercules Capital post-graduation, which is venture capital/venture debt",Cycling,Life is a Highway by Rascal Flats,I'm a bit worried it might be used for ill.,257,3,16,10
1781,2023/09/07 1:03:22 PM AST,Sophomore,No,Quantitative analyst/data analyst,I love reading. ,Long Live by Taylor Swift,I'm a bit worried it might be used for ill.,239,1,16,13
1028,2023/09/07 1:56:09 PM AST,Sophomore,No,Data visualization/research for news company or data scientist/analyst for sports team ,Boxing ,Upside Down by Jack Johnson ,I'm a bit worried it might be used for ill.,234,6,16,3
1927,2023/09/07 2:06:30 PM AST,Senior,Yes,Mechanical Engineer in Biotech,Golf,Ooh La La- Faces,"I think it's the future, and the future looks great!",269,1,19,20
1553,2023/09/07 2:17:41 PM AST,Sophomore,No,Some place with a 4 day work week,Counter-Strike,,I'm a bit worried it might be used for ill.,252,2,8,2
1394,2023/09/07 2:33:22 PM AST,Sophomore,No,Data Science at a Big 4 or Consulting Firm,Watching shows,We Didn't Start the Fire - FOB Version,I'm a bit worried it might be used for ill.,234,0,16,15
1185,2023/09/07 2:54:11 PM AST,Sophomore,No,quant,DEBATE,succession theme song omg omg omg,"I think it's the future, and the future looks great!",232,4,18,20
1910,2023/09/07 2:54:25 PM AST,Sophomore,No,SDE,Dance,I love Jesus ,"I think it's the future, and the future looks great!",229,0,18,20
1904,2023/09/07 2:54:42 PM AST,Junior,Yes,Equestrian Trainer,Soccer,Walking on a Dream,"It will be useful, but it won't change the world signicantly.",249,3,16,12
1266,2023/09/07 2:54:59 PM AST,Junior,Yes,Project Manager in Private Equity,Drawing,Vienna,"It will be useful, but it won't change the world signicantly.",248,10,17,15
1121,2023/09/07 2:55:16 PM AST,Sophomore,No,Dream job: architect ,playing sports ,loud and fast ,"It will be useful, but it won't change the world signicantly.",115,4,16,0
1143,2023/09/07 2:55:36 PM AST,Sophomore,No,Retirement,Spending time with my friends,good news,"It will be useful, but it won't change the world signicantly.",231,0,16,0
1842,2023/09/07 2:55:39 PM AST,Sophomore,No,Using data science in a business/marketing atmosphere. ,Trying new coffee places.,Pursuit of Happiness by Kid Cudi,"I think it's the future, and the future looks great!",235,4,18,10
1683,2023/09/07 2:55:59 PM AST,Sophomore,No,Looking into either data analyst careers or actuarial sciences. ,Painting,I Don't Wanna Be by Gavin Degraw,"I think it's the future, and the future looks great!",228,2,16,10
1550,2023/09/07 2:56:00 PM AST,Senior,Yes,Investment Banking,,,"I think it's the future, and the future looks great!",265,3,16,0
1751,2023/09/07 2:56:04 PM AST,Senior,Yes,Pursuing a career in either operations/logistics consulting or asset management,Watching movies or traveling around with friends,Blur- Song 2,I'm a bit worried it might be used for ill.,254,2,16,0
1292,2023/09/07 2:56:11 PM AST,Junior,No,something that helps better understand our climate,photography,going up the country - canned heat,I'm a bit worried it might be used for ill.,247,5,16,4
1598,2023/09/07 2:56:13 PM AST,Sophomore,No,I want to be a researcher in fields of artificial intelligence.,Writing or playing the piano or going for walks.,try,"I think it's the future, and the future looks great!",230,1,18,4
1601,2023/09/07 2:56:18 PM AST,Junior,No,starting my own company and getting rich off of it,playing basketball/working out. also playing video games,August by t swift. both of the relationships that ive had started and pretty much ended around august,I'm a bit worried it might be used for ill.,244,1,18,0
1146,2023/09/07 2:56:41 PM AST,Sophomore,No,quantification,Gaming,Re Aoharu,"I think it's the future, and the future looks great!",239,2,16,0
1038,2023/09/07 2:57:02 PM AST,Senior,Yes,IDK,golf,,I'm a bit worried it might be used for ill.,280,2,16,0
1568,2023/09/07 2:57:20 PM AST,Sophomore,No,Software / AI engineer,"coding, wandering around on Internet",Queencard,"I think it's the future, and the future looks great!",243,4,17,0
1405,2023/09/07 2:57:40 PM AST,Junior,No,finance,going to the gym,Unwritten by Natasha Bedingfield,"I think it's the future, and the future looks great!",246,2,17,30
1578,2023/09/07 2:58:04 PM AST,Junior,No,ML Engineer at large engineering company,Hiking,Alone in the Mountains - Goth Babe,"I think it's the future, and the future looks great!",251,1,18,15
1398,2023/09/07 2:58:35 PM AST,Junior,No,Astronomer,Music,,I'm a bit worried it might be used for ill.,243,3,17,20
1262,2023/09/07 2:59:01 PM AST,Junior,Yes,Financial Analyst/ Software Engineer,Travel,Cant think of one,"I think it's the future, and the future looks great!",243,2,18,20
1171,2023/09/07 2:59:01 PM AST,Junior,No,Not sure yet,Reading,Giant Steps by John Coltrane,"I think it's the future, and the future looks great!",246,2.5,16,8
1317,2023/09/07 2:59:40 PM AST,Sophomore,No,data analyst/data scientist,playing racket sports,Rebellious Way- Basixx,"I think it's the future, and the future looks great!",238.1,2,16,15
