,name,href,Total Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Saturated Fat,Cholesterol,query
2,Refrigerator Dill Pickles,https://www.allrecipes.com/recipe/233542/refrigerator-dill-pickles/,0g,444mg,3g,0g,2g,0g,2mg,13mg,5mg,86mg,,,pickles
5,Bread and Butter Pickles,https://www.allrecipes.com/recipe/21166/bread-and-butter-pickles-ii/,0g,938mg,26g,1g,22g,1g,8mg,26mg,1mg,194mg,0g,,pickles
6,Chef John's Bread and Butter Pickles,https://www.allrecipes.com/recipe/239231/chef-johns-bread-and-butter-pickles/,0g,361mg,10g,0g,9g,0g,3mg,6mg,0mg,40mg,,,pickles
7,Microwave Bread and Butter Pickles,https://www.allrecipes.com/recipe/26857/microwave-bread-and-butter-pickles/,,97mg,9g,0g,9g,0g,1mg,4mg,0mg,26mg,,,pickles
8,Spicy Refrigerator Dill Pickles,https://www.allrecipes.com/recipe/75145/spicy-refrigerator-dill-pickles/,0g,728mg,17g,1g,12g,2g,10mg,50mg,1mg,338mg,0g,,pickles
9,Zucchini Pickles,https://www.allrecipes.com/recipe/228678/zucchini-pickles/,0g,2mg,5g,0g,5g,0g,2mg,3mg,0mg,34mg,,,pickles
10,Deep Fried Dill Pickles,https://www.allrecipes.com/recipe/17192/deep-fried-dill-pickles/,4g,1223mg,30g,2g,2g,6g,2mg,42mg,2mg,200mg,1g,32mg,pickles
11,Refrigerator Pickles,https://www.allrecipes.com/recipe/14275/refrigerator-pickles/,0g,59mg,11g,0g,10g,0g,4mg,6mg,0mg,52mg,,,pickles
12,Homemade Refrigerator Pickles,https://www.allrecipes.com/recipe/22653/homemade-refrigerator-pickles/,,92mg,7g,0g,,0g,2mg,2mg,,22mg,,,pickles
13,Tuna Salad with Eggs and Pickles,https://www.allrecipes.com/recipe/73223/new-wife-tuna-salad/,14g,190mg,2g,0g,1g,14g,1mg,23mg,1mg,152mg,2g,106mg,pickles
19,Cream Cheese Pickles,https://www.allrecipes.com/recipe/14906/cream-cheese-pickles/,20g,1995mg,7g,2g,2g,7g,3mg,58mg,2mg,251mg,13g,66mg,pickles
20,Fried Dill Pickles,https://www.allrecipes.com/recipe/73458/fried-dill-pickles/,7g,849mg,25g,1g,2g,4g,1mg,30mg,2mg,132mg,1g,13mg,pickles
22,Macaroni Salad with Pickles,https://www.allrecipes.com/recipe/14211/macaroni-salad-with-pickles/,40g,1120mg,67g,4g,8g,16g,22mg,128mg,5mg,472mg,9g,146mg,pickles
23,Pop's Dill Pickles,https://www.allrecipes.com/recipe/218121/pops-dill-pickles/,0g,1585mg,9g,1g,6g,1g,4mg,22mg,0mg,163mg,,,pickles
0,Easy Oreo Truffles,https://www.allrecipes.com/recipe/127491/easy-oreo-truffles/,7g,68mg,14g,1g,,2g,,,,27mg,4g,6mg,truffles
