time_stamp,class,co_op,dream_career,hobby,song,ai_feels,age_months,pets,credit_hours,work_hours
2023/09/06 12:59:46 AM AST,Junior,No,Pharmaceutical data scientist job,"playing poker, try new restaurants",,"I think it's the future, and the future looks great!",240.0,0.0,18,30.0
2023/09/06 5:52:01 AM AST,Senior,Yes,Management ,Drawing,https://www.youtube.com/watch?v=A1EhBdsTkl8,"I think it's the future, and the future looks great!",259.0,8.0,16,0.0
2023/09/06 8:40:59 AM AST,Sophomore,No,I want to be a UI/UX developer.,I love doing yoga and going on long walks!,"""I'll Be There For You""","It will be useful, but it won't change the world signicantly.",230.0,0.0,19,15.0
2023/09/06 9:07:26 AM AST,Junior,Yes,International Affairs,Singing,These are the Days by Inhaler - https://www.youtube.com/watch?v=l0Hilyfp_8A,I'm a bit worried it might be used for ill.,246.0,5.0,17,0.0
2023/09/06 10:04:32 AM AST,Sophomore,No,research in data science & neuroscience fields,"travelling, reading, painting",,I'm a bit worried it might be used for ill.,230.0,6.0,17,0.0
2023/09/06 10:21:57 AM AST,Senior,Yes,Senior/HIgher Level of SDE,Building Keyboard,https://open.spotify.com/track/32TW5KGM1UqTzkTOkcNITt?si=bfe1652a00904cda,"I think it's the future, and the future looks great!",253.0,0.0,16,0.0
2023/09/06 11:04:57 AM AST,Junior,Yes,Still figuring it out,Running,,I'm a bit worried it might be used for ill.,239.0,0.0,16,7.0
2023/09/06 11:23:36 AM AST,Senior,Yes,Research Scientist,Gaming,Sweet Dreams (https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS?si=bec608204eaf43ed),"I think it's the future, and the future looks great!",252.0,2.0,12,8.0
2023/09/06 11:43:29 AM AST,Senior,Yes,SDE,Badminton,Washed Wine,"I think it's the future, and the future looks great!",269.0,1.0,12,0.0
2023/09/06 12:10:53 PM AST,Senior,Yes,"MD/PhD, don't know what fields I would specialize in but I would probably do patient care and research or patient care and teaching.",,,"It will be useful, but it won't change the world signicantly.",260.0,0.0,16,8.0
2023/09/06 12:48:36 PM AST,Senior,Yes,Software Engineer,Hiking,"""Can't Stop the Feeling!"" by Justin Timberlake",I'm a bit worried it might be used for ill.,253.0,0.0,16,0.0
2023/09/06 1:23:45 PM AST,Sophomore,No,,,,"I think it's the future, and the future looks great!",242.0,,18,
2023/09/06 2:12:58 PM AST,Sophomore,No,SWE/ Quant trader,Chess,Good Life - Kanye,"I think it's the future, and the future looks great!",239.0,1.0,17,0.0
2023/09/06 2:49:58 PM AST,Junior,Yes,Quantitative Trader,Video editing,Happy (https://www.youtube.com/watch?v=y6Sxv-sUYtM),"I think it's the future, and the future looks great!",245.0,2.0,17,0.0
2023/09/06 4:04:01 PM AST,Sophomore,No,AI/Software Team Lead at IBM or EY,Being active and playing basketball,it'd probably be Sunday Best by Surfaces ,"I think it's the future, and the future looks great!",79.0,2.0,19,8.0
2023/09/06 4:19:00 PM AST,Senior,Yes,Quant Analyst,"Watching shows, reading",Thats life - sinatra,I'm a bit worried it might be used for ill.,271.0,0.0,16,0.0
2023/09/06 5:00:38 PM AST,Sophomore,No,My dream career would probably be something in public health or the nonprofit space but I am currently pursuing accounting. ,I really like walking and reading. ,,"It will be useful, but it won't change the world signicantly.",239.0,1.0,17,15.0
2023/09/06 5:07:27 PM AST,Sophomore,No,"Still exploring, I'm doing a Combined major of Computer Science and Business Administration. At the moment I'm leaning towards something software related.",Listening to music,No Wind Resistance - Kinneret,"I think it's the future, and the future looks great!",231.0,0.0,16,0.0
2023/09/06 6:06:10 PM AST,Senior,Yes,Financial Analyst at Microsoft,Aerial Yoga,"""I'M THAT GIRL"": https://open.spotify.com/track/1MpCaOeUWhox2Fgigbe1cL?si=03fa15dc87f14e1d",I'm a bit worried it might be used for ill.,262.0,2.0,16,10.0
2023/09/06 7:00:47 PM AST,Senior,Yes,"something that combines technology, marketing, and entrepreneurship",Dance,Joe Hisaishi - Merry-Go-Round of Life (from Howl’s Moving Castle),I'm a bit worried it might be used for ill.,252.0,1.0,16,0.0
2023/09/06 7:21:59 PM AST,Sophomore,No,Quantitative Finance,Gym,Happiness is a butterfly,"I think it's the future, and the future looks great!",249.0,0.0,17,0.0
2023/09/06 7:25:37 PM AST,Sophomore,No,ML/Generative AI - (Consulting),Forumla 1,Bill Nye the Science Guy Intro,"I think it's the future, and the future looks great!",253.0,4.0,16,15.0
2023/09/06 9:01:50 PM AST,Sophomore,No,Health IT,photography!,Dynasty by Rina Sawayama,I'm a bit worried it might be used for ill.,230.0,0.0,18,5.0
2023/09/06 9:28:16 PM AST,Junior,No,Anything combining data science and international affairs ,singing ,,Meh.,245.0,0.0,16,20.0
2023/09/06 11:30:48 PM AST,Sophomore,No,Software engineering,Watching Kdramas or playing volleyball,Calm down - Rema (Friend said the beat was kinda me),"I think it's the future, and the future looks great!",235.0,1.0,16,0.0
2023/09/07 7:18:36 AM AST,Sophomore,No,Data scientist,Music,,It's going to destroy us all!,234.0,6.0,19,0.0
2023/09/07 7:48:31 AM AST,Sophomore,No,be an entrepreneur ,dance,,"I think it's the future, and the future looks great!",,1.0,17,10.0
2023/09/07 12:40:42 PM AST,Senior,Yes,"I'll be an Investment Analyst at Hercules Capital post-graduation, which is venture capital/venture debt",Cycling,Life is a Highway by Rascal Flats,I'm a bit worried it might be used for ill.,257.0,3.0,16,10.0
