danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.631,0.605,0,-8.73,1,0.0386,0.453,0.000184,0.291,0.25,115.281,https://api.spotify.com/v1/tracks/4LVDnRxfljiEerC26z3JW4,295293,Pursuit Of Happiness (nightmare),Kid Cudi
0.531,0.766,8,-7.692,1,0.0582,0.0056,0.0,0.201,0.532,130.048,https://api.spotify.com/v1/tracks/1rS3J4u1G8f6hbmTosa8Nf,179493,I Found A Way,Drake Bell
0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,175238,I'm Good (Blue),David Guetta
0.62,0.712,9,-6.434,1,0.1,0.228,3.39e-06,0.0561,0.83,170.234,https://api.spotify.com/v1/tracks/4dRqYKhLVujxiBXcq50YzG,268600,This Life,Vampire Weekend
0.787,0.655,6,-8.339,0,0.0431,0.238,0.000171,0.138,0.65,102.485,https://api.spotify.com/v1/tracks/6shRGWCtBUOPFLFTTqXZIC,208653,Upside Down,Jack Johnson
0.52,0.614,2,-8.287,1,0.0492,0.309,4.86e-05,0.353,0.346,80.022,https://api.spotify.com/v1/tracks/5JLCvvRxzSogiBcL1Fl0Xa,158200,quiet motions,mxmtoon
0.699,0.827,0,-3.469,1,0.0372,0.222,0.0,0.35,0.819,109.971,https://api.spotify.com/v1/tracks/2eKYRRrNhXXr7SSzE3X99F,152573,Better in Stereo - Theme Song Version,Cast - Liv and Maddie
0.657,0.562,8,-8.6,1,0.0601,0.54,0.00143,0.101,0.704,81.657,https://api.spotify.com/v1/tracks/7CH99b2i1TXS5P8UUyWtnM,188454,Them Changes,Thundercat
0.239,0.287,7,-12.565,0,0.0388,0.876,0.644,0.122,0.185,71.608,https://api.spotify.com/v1/tracks/39uLYYZytVUwcjgeYLI409,311107,Merry-Go-Round of Life - from 'Howl's Moving Castle',Joe Hisaishi
0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,https://api.spotify.com/v1/tracks/3hUxzQpSfdDqwM3ZTFQY0K,261923,august,Taylor Swift
0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,https://api.spotify.com/v1/tracks/4cOdK2wGLETKBW3PvgPWqT,213573,Never Gonna Give You Up,Rick Astley
0.632,0.655,7,-7.769,0,0.382,0.0207,0.000304,0.35,0.5,130.062,https://api.spotify.com/v1/tracks/00u6jDmchyT3pmNCdSNQYs,266055,Bill Nye The Science Guy,MicroDragon
0.51,0.955,4,-5.64,1,0.0455,0.00935,0.000149,0.642,0.761,140.055,https://api.spotify.com/v1/tracks/6fyCVdU5lJT9ErO9QicFWC,222297,These Are The Days,Inhaler
0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.006,https://api.spotify.com/v1/tracks/7BcOUi4FQ3wBLmNTW0yfCR,195873,The Spins,Mac Miller
0.567,0.961,7,-4.084,1,0.0572,0.00139,3.7e-05,0.102,0.669,151.92,https://api.spotify.com/v1/tracks/60glT2wsoSHV3B8yCRSB8v,215531,We Didn’t Start The Fire,Fall Out Boy
0.602,0.88,1,-5.414,1,0.0354,0.057,0.46,0.284,0.493,114.009,https://api.spotify.com/v1/tracks/5ozqshq2dtU7SYCpCBu0NE,324013,One More Year,Tame Impala
0.621,0.741,2,-4.479,1,0.0611,0.187,0.0,0.227,0.691,76.464,https://api.spotify.com/v1/tracks/4ZwgD4frTwoDdOUsjyoqAJ,157563,Dancing In The Courthouse,Dominic Fike
0.87,0.523,1,-8.052,0,0.0602,0.433,2.07e-05,0.113,0.319,110.02,https://api.spotify.com/v1/tracks/09gysnJpfQ3ublBmJDfcEC,204764,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae
0.711,0.655,11,-5.987,0,0.047,0.0233,0.00045,0.115,0.759,90.981,https://api.spotify.com/v1/tracks/0jjvN2gRVQsr9yu7mOxRQq,226444,life hack,Vaundy
0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,https://api.spotify.com/v1/tracks/2VOZniNxFIDl8ydLltrMNb,272373,Escapism.,RAYE
0.575,0.491,7,-5.57,1,0.0364,0.73,8.78e-06,0.136,0.538,61.176,https://api.spotify.com/v1/tracks/145X1jCpgUYImOjTq4hDRi,118925,Driving Myself Home,Rose Betts
0.791,0.884,2,-10.339,1,0.0558,0.208,0.854,0.0652,0.926,110.432,https://api.spotify.com/v1/tracks/1oo7pneuUHUEKdbH0TgiGc,52453,Seinfeld Theme,Jonathan Wolff
0.532,0.495,10,-6.662,1,0.0343,0.659,0.0,0.0754,0.308,124.936,https://api.spotify.com/v1/tracks/4U45aEWtQhrm8A5mxPaFZ7,214240,Vienna,Billy Joel
0.541,0.465,0,-8.562,1,0.0827,0.125,0.000265,0.219,0.132,191.389,https://api.spotify.com/v1/tracks/0lHALprBBAHaqmFRhbPLcz,243440,I Wonder,Kanye West
0.403,0.79,7,-5.119,1,0.031,0.00161,0.0,0.223,0.43,162.015,https://api.spotify.com/v1/tracks/7BTfCCOitwPLJLlgPMpz1g,192280,Peace Sign,The Front Bottoms
0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,https://api.spotify.com/v1/tracks/78qd8dvwea0Gosb6Fe6j3k,134240,Boss Bitch,Doja Cat
0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,https://api.spotify.com/v1/tracks/4uOBL4DDWWVx4RhYKlPbPC,161240,Queencard,(G)I-DLE
0.233,0.317,1,-15.266,1,0.0366,0.245,0.849,0.0952,0.0304,161.954,https://api.spotify.com/v1/tracks/1arUbkguEp9QR7e1Z4CAtd,221947,Friday The 13th Main Theme (feat. Jason Voorhees) - From Friday The 13th,Steve Jablonsky
0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,184516,Pink + White,Frank Ocean
0.739,0.686,6,-6.386,0,0.0438,0.00507,7.02e-06,0.0452,0.68,129.916,https://api.spotify.com/v1/tracks/0BxhafwvN6GXIyyvi27A0I,136693,Hot Wings (I Wanna Party),will.i.am
0.792,0.439,8,-18.813,1,0.0602,0.726,0.887,0.0563,0.655,125.578,https://api.spotify.com/v1/tracks/0eMxgAHmuvoqpLyYQrbKvQ,123310,Happy,Pharrell Williams
0.854,0.492,10,-14.779,0,0.131,0.13,0.00167,0.0846,0.0735,137.029,https://api.spotify.com/v1/tracks/0C6ShwHWvn4JyvcJc1LjbS,243228,Sticky,Drake
0.525,0.929,9,-8.56,0,0.0784,0.262,2.9e-05,0.0754,0.556,163.503,https://api.spotify.com/v1/tracks/5uUhS7XDkyycNa5FaNfPGT,262748,D'yer Mak'er - Remaster,Led Zeppelin
0.881,0.874,6,-4.505,1,0.139,0.0175,1.14e-06,0.154,0.858,107.891,https://api.spotify.com/v1/tracks/0weAUscowxeqDtpCgtbpgp,227933,Gettin' Jiggy Wit It,Will Smith
0.467,0.119,2,-10.99,1,0.0401,0.969,1.4e-06,0.0973,0.156,70.499,https://api.spotify.com/v1/tracks/3lG6OtGDsYAOALxEmubQQm,272485,Happiness is a butterfly,Lana Del Rey
0.655,0.714,7,-7.78,0,0.0572,0.0512,0.48,0.32,0.131,123.002,https://api.spotify.com/v1/tracks/7u0fz3V6cYeYTX91DMmIvQ,210562,Food for the Soul,it's murph
0.646,0.73,2,-7.3,1,0.0311,0.138,0.0139,0.0601,0.967,124.987,https://api.spotify.com/v1/tracks/6ULHcW2ZY9BsYRaGLNjPwc,99657,Loud And Fast,bunny pineda
0.68,0.246,4,-14.112,1,0.058,0.783,0.0,0.106,0.388,110.23,https://api.spotify.com/v1/tracks/2Dct3GykKZ58hpWRFfe2Qd,171693,Heading South,Zach Bryan
0.667,0.535,0,-14.987,0,0.0457,0.864,0.0607,0.199,0.798,116.273,https://api.spotify.com/v1/tracks/3rbhipSZ0E0mUfyZjiRjXJ,304827,The Coast,Paul Simon
0.653,0.239,5,-18.54,0,0.0453,0.806,0.0146,0.132,0.765,80.392,https://api.spotify.com/v1/tracks/57460SJgSpCXaRJ9YIYHxy,171373,Going Up The Country,Canned Heat
0.601,0.574,2,-8.166,1,0.03,0.579,1.14e-05,0.216,0.8,147.964,https://api.spotify.com/v1/tracks/4lJ6YVXQ0jUk5ILu0PSrA4,214080,Ooh La La,Faces
0.693,0.575,8,-8.887,1,0.0727,0.124,0.946,0.102,0.728,130.033,https://api.spotify.com/v1/tracks/62C8Bd6EgEOofLZ1COjF3n,160659,striptease,carwash
0.741,0.798,5,-5.342,0,0.0718,0.00781,0.0,0.0232,0.939,104.953,https://api.spotify.com/v1/tracks/5XMkENs3GfeRza8MfVAhjK,191000,Finesse,Bruno Mars
0.373,0.213,7,-13.034,1,0.0356,0.931,2.02e-06,0.524,0.403,79.44,https://api.spotify.com/v1/tracks/41CJn3Q0pJwcNHbF8RM2QE,110716,july 16th,Giveon
0.582,0.952,5,-3.848,1,0.0731,0.00324,0.0,0.223,0.655,103.027,https://api.spotify.com/v1/tracks/2Fs18NaCDuluPG1DHGw1XG,276320,Life is a Highway,Rascal Flatts
0.671,0.744,0,-8.215,1,0.0609,0.0111,0.0,0.11,0.746,113.014,https://api.spotify.com/v1/tracks/0ZXia0LUmj7r0CK5YOWdTu,237227,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
0.417,0.42,0,-13.046,0,0.06,0.186,0.00111,0.185,0.517,147.143,https://api.spotify.com/v1/tracks/1ZXu0ib26kWfQQngREMcU2,287844,Giant Steps - 2020 Remaster,John Coltrane
0.32,0.917,9,-5.903,1,0.0771,0.0717,0.0,0.169,0.715,190.757,https://api.spotify.com/v1/tracks/15tHagkk8z306XkyOHqiip,188360,"I'll Be There for You - Theme From ""Friends""",The Rembrandts
0.444,0.777,6,-7.625,0,0.0356,0.354,0.774,0.451,0.428,159.989,https://api.spotify.com/v1/tracks/0cZaVReAXNcdvAlCbwqfB0,292126,ハートフェルトファンシー,上海アリス幻樂団
0.695,0.496,1,-12.199,0,0.0659,0.234,0.00625,0.116,0.49,139.849,https://api.spotify.com/v1/tracks/5zgkOLH6HfY5w8thZoS2jP,198922,No Wind Resistance!,Kinneret
0.431,0.373,11,-15.142,0,0.0346,0.389,0.728,0.143,0.253,128.153,https://api.spotify.com/v1/tracks/2ctvdKmETyOzPb2GiJJT53,169535,Breathe (In the Air),Pink Floyd
0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,https://api.spotify.com/v1/tracks/7H7NyZ3G075GqPx2evsfeb,231724,Chamber Of Reflection,Mac DeMarco
0.883,0.477,11,-5.791,0,0.0704,0.753,4.05e-05,0.223,0.827,140.22,https://api.spotify.com/v1/tracks/2P9HugRjZqZ2v3Sm9JBnIO,168000,Day ‘n’ Nite,Kid Cudi
0.209,0.37,7,-14.152,1,0.0347,0.881,0.912,0.112,0.0685,87.284,https://api.spotify.com/v1/tracks/1gVN2TuTQh2g9LE1wi6FTY,130421,Girei (Pain's Theme),Lorenzo Ferrara
0.716,0.794,9,-5.138,0,0.326,0.0802,0.0,0.0859,0.542,96.751,https://api.spotify.com/v1/tracks/6BVmygBQhe4pTZQgKkzstD,175600,Hustle,P!nk
0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,https://api.spotify.com/v1/tracks/22L7bfCiAkJo5xGSQgmiIO,299613,All Of The Lights,Kanye West
0.353,0.985,2,-3.676,1,0.0676,0.000286,0.911,0.346,0.727,180.08,https://api.spotify.com/v1/tracks/3QRdzUlyC6Ae5ZL10zpBvY,139861,ブルーアーカイブ (Blue Archive OST 59 Soundtrack),Yoko
0.47,0.859,2,-3.663,1,0.0537,0.000362,0.00691,0.142,0.17,124.01,https://api.spotify.com/v1/tracks/70L6nHORQsblY813yNqUR3,317707,Cherry Waves,Deftones
0.554,0.666,8,-7.414,1,0.0747,0.0702,0.00593,0.106,0.472,140.056,https://api.spotify.com/v1/tracks/59HjlYCeBsxdI0fcm3zglw,220440,Wildest Dreams,Taylor Swift
0.643,0.797,2,-5.588,1,0.169,0.311,0.0,0.331,0.701,96.008,https://api.spotify.com/v1/tracks/1Vl4ESWb6U7gKSPfK4qenq,241027,That Girl,Pharrell Williams
0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009,https://api.spotify.com/v1/tracks/0VF7YLIxSQKyNiFL3X6MmN,217027,Stargazing,The Neighbourhood
0.875,0.813,7,-4.502,1,0.0579,0.00618,0.0,0.321,0.859,114.993,https://api.spotify.com/v1/tracks/6zrJLhslleCHby0wbUnvVy,184882,Future Nostalgia,Dua Lipa
0.415,0.748,4,-5.008,1,0.0481,0.00305,0.0,0.0903,0.154,120.056,https://api.spotify.com/v1/tracks/4ltqfN12ohaVZdM6C45gMg,258419,American Teenager,Ethel Cain
